Model,Scenario,AUC,BalAcc,Sensitivity,Specificity,F1
Baseline,All 4,0.814 ± 0.036,0.648 ± 0.078,0.394 ± 0.236,0.902 ± 0.086,0.429 ± 0.199
Baseline,No T1CE,0.772 ± 0.041,0.671 ± 0.051,0.444 ± 0.170,0.897 ± 0.070,0.501 ± 0.100
Baseline,No FLAIR,0.706 ± 0.055,0.545 ± 0.043,0.120 ± 0.116,0.971 ± 0.035,0.175 ± 0.162
Baseline,No T2,0.677 ± 0.066,0.575 ± 0.047,0.520 ± 0.253,0.630 ± 0.202,0.382 ± 0.144
Baseline,T1+T2 only,0.675 ± 0.040,0.560 ± 0.048,0.165 ± 0.131,0.955 ± 0.037,0.231 ± 0.161
Baseline,T1 only,0.553 ± 0.089,0.502 ± 0.008,0.291 ± 0.390,0.712 ± 0.391,0.166 ± 0.185
Dropout-30,All 4,0.760 ± 0.058,0.674 ± 0.060,0.551 ± 0.179,0.798 ± 0.140,0.523 ± 0.104
Dropout-30,No T1CE,0.758 ± 0.069,0.660 ± 0.049,0.454 ± 0.115,0.865 ± 0.066,0.500 ± 0.084
Dropout-30,No FLAIR,0.714 ± 0.063,0.612 ± 0.064,0.425 ± 0.231,0.798 ± 0.149,0.400 ± 0.164
Dropout-30,No T2,0.708 ± 0.027,0.596 ± 0.059,0.363 ± 0.245,0.829 ± 0.132,0.348 ± 0.182
Dropout-30,T1+T2 only,0.718 ± 0.066,0.619 ± 0.070,0.397 ± 0.235,0.841 ± 0.148,0.395 ± 0.206
Dropout-30,T1 only,0.626 ± 0.063,0.557 ± 0.046,0.260 ± 0.252,0.854 ± 0.165,0.245 ± 0.189
Dropout-50,All 4,0.697 ± 0.078,0.637 ± 0.041,0.549 ± 0.184,0.724 ± 0.115,0.477 ± 0.064
Dropout-50,No T1CE,0.679 ± 0.087,0.632 ± 0.030,0.601 ± 0.182,0.663 ± 0.150,0.482 ± 0.051
Dropout-50,No FLAIR,0.651 ± 0.085,0.593 ± 0.047,0.606 ± 0.310,0.580 ± 0.218,0.401 ± 0.175
Dropout-50,No T2,0.665 ± 0.079,0.582 ± 0.072,0.801 ± 0.198,0.364 ± 0.299,0.474 ± 0.046
Dropout-50,T1+T2 only,0.655 ± 0.082,0.571 ± 0.047,0.567 ± 0.296,0.575 ± 0.221,0.371 ± 0.188
Dropout-50,T1 only,0.613 ± 0.072,0.569 ± 0.060,0.823 ± 0.135,0.315 ± 0.190,0.464 ± 0.045
