Scenario,Pair,Statistic,p-value,Sig.
All 4,Baseline_ResNet18 vs Dropout30_ResNet18,0.0,0.0625,ns
All 4,Baseline_ResNet18 vs Dropout50_ResNet18,0.0,0.0625,ns
All 4,Dropout30_ResNet18 vs Dropout50_ResNet18,2.0,0.1875,ns
No T1CE,Baseline_ResNet18 vs Dropout30_ResNet18,5.0,0.625,ns
No T1CE,Baseline_ResNet18 vs Dropout50_ResNet18,1.0,0.125,ns
No T1CE,Dropout30_ResNet18 vs Dropout50_ResNet18,2.0,0.1875,ns
No FLAIR,Baseline_ResNet18 vs Dropout30_ResNet18,7.0,1.0,ns
No FLAIR,Baseline_ResNet18 vs Dropout50_ResNet18,0.0,0.0625,ns
No FLAIR,Dropout30_ResNet18 vs Dropout50_ResNet18,6.0,0.8125,ns
No T2,Baseline_ResNet18 vs Dropout30_ResNet18,5.0,0.625,ns
No T2,Baseline_ResNet18 vs Dropout50_ResNet18,7.0,1.0,ns
No T2,Dropout30_ResNet18 vs Dropout50_ResNet18,3.0,0.3125,ns
T1+T2 only,Baseline_ResNet18 vs Dropout30_ResNet18,3.0,0.3125,ns
T1+T2 only,Baseline_ResNet18 vs Dropout50_ResNet18,7.0,1.0,ns
T1+T2 only,Dropout30_ResNet18 vs Dropout50_ResNet18,5.0,0.625,ns
T1 only,Baseline_ResNet18 vs Dropout30_ResNet18,1.0,0.125,ns
T1 only,Baseline_ResNet18 vs Dropout50_ResNet18,4.0,0.4375,ns
T1 only,Dropout30_ResNet18 vs Dropout50_ResNet18,6.0,0.8125,ns
